title,category,description,url,"title,category,description,url"
_Amritashiti1990AC6579.pdf,Other,,https://t.me/jainegranth/52132,"_Amritashiti1990AC6579.pdf,Other,https://t.me/jainegranth/52132"
“दशकरण_चर्चा”_सम्पूर्ण_कक्षा_1_8.pdf,Hindi Name books,,https://t.me/jainegranth/47948,"“दशकरण_चर्चा”_सम्पूर्ण_कक्षा_1_8.pdf,Hindi Name books,https://t.me/jainegranth/47948"
001-Kotibhatt-Shripal-Puran-Hindi.pdf,Other,,https://t.me/jainegranth/56236,"001-Kotibhatt-Shripal-Puran-Hindi.pdf,Other,https://t.me/jainegranth/56236"
002. Pravchansar-1-47.pdf,Pravachansaar,,https://t.me/jainegranth/8054,"002. Pravchansar-1-47.pdf,Pravachansaar,https://t.me/jainegranth/8054"
002. Pravchansar-48-476.pdf,Pravachansaar,,https://t.me/jainegranth/8055,"002. Pravchansar-48-476.pdf,Pravachansaar,https://t.me/jainegranth/8055"
002-Kotibhatt-Shripal-Puran-Hindi.pdf,Other,,https://t.me/jainegranth/56237,"002-Kotibhatt-Shripal-Puran-Hindi.pdf,Other,https://t.me/jainegranth/56237"
003. Pravachansaar (Jaysencharya).pdf,Pravachan,,https://t.me/jainegranth/48160,"003. Pravachansaar (Jaysencharya).pdf,Pravachan,https://t.me/jainegranth/48160"
004Panch Parmeshthi Poojan Pavaiya ji.pdf,Poojan,,https://t.me/jainegranth/48055,"004Panch Parmeshthi Poojan Pavaiya ji.pdf,Poojan,https://t.me/jainegranth/48055"
005 Dash Laxan Vidhan Manglacharan (1).pdf,Vidhan,,https://t.me/jainegranth/57888,"005 Dash Laxan Vidhan Manglacharan (1).pdf,Vidhan,https://t.me/jainegranth/57888"
005 Dash Laxan Vidhan Manglacharan (2).pdf,Vidhan,,https://t.me/jainegranth/57887,"005 Dash Laxan Vidhan Manglacharan (2).pdf,Vidhan,https://t.me/jainegranth/57887"
006-Samadhi aur sallekhna.mp3,Other,,https://t.me/jainegranth/22658,"006-Samadhi aur sallekhna.mp3,Other,https://t.me/jainegranth/22658"
01 aalap padhhati.pdf,Other,,https://t.me/jainegranth/58799,"01 aalap padhhati.pdf,Other,https://t.me/jainegranth/58799"
01 Balbodh Mokhik 2018.pdf,Balbodha,,https://t.me/jainegranth/13208,"01 Balbodh Mokhik 2018.pdf,Balbodha,https://t.me/jainegranth/13208"
01 Karan Karya Niyam.pdf,Other,,https://t.me/jainegranth/55961,"01 Karan Karya Niyam.pdf,Other,https://t.me/jainegranth/55961"
01. Vinay Path.pdf,Poojan,,https://t.me/jainegranth/57796,"01. Vinay Path.pdf,Poojan,https://t.me/jainegranth/57796"
01.PASC=01.mp3,Other,,https://t.me/jainegranth/10643,"01.PASC=01.mp3,Other,https://t.me/jainegranth/10643"
016. Swaroop Sambodhan.pdf,Other,,https://t.me/jainegranth/54698,"016. Swaroop Sambodhan.pdf,Other,https://t.me/jainegranth/54698"
017.Samyag Gnaan Chandrika - Part 1 - Purva Ardh.pdf,Other,,https://t.me/jainegranth/56950,"017.Samyag Gnaan Chandrika - Part 1 - Purva Ardh.pdf,Other,https://t.me/jainegranth/56950"
01-Kshama dharm.pdf,Other,,https://t.me/jainegranth/55343,"01-Kshama dharm.pdf,Other,https://t.me/jainegranth/55343"
01Sarva_samanya_pratikraman_avashyak(1st).PDF,Other,,https://t.me/jainegranth/57852,"01Sarva_samanya_pratikraman_avashyak(1st).PDF,Other,https://t.me/jainegranth/57852"
01Sarva_samanya_pratikraman_avashyak(1st).PDF.pdf,Other,,https://t.me/jainegranth/4784,"01Sarva_samanya_pratikraman_avashyak(1st).PDF.pdf,Other,https://t.me/jainegranth/4784"
02 Bhag Pratam 2018 bal.pdf,Other,,https://t.me/jainegranth/13209,"02 Bhag Pratam 2018 bal.pdf,Other,https://t.me/jainegranth/13209"
02 Bhag Pratam 2018.pdf,Other,,https://t.me/jainegranth/57973,"02 Bhag Pratam 2018.pdf,Other,https://t.me/jainegranth/57973"
02 Karan Karya Niyam.pdf,Other,,https://t.me/jainegranth/55962,"02 Karan Karya Niyam.pdf,Other,https://t.me/jainegranth/55962"
02 Track 2.mp3,Other,,https://t.me/jainegranth/52556,"02 Track 2.mp3,Other,https://t.me/jainegranth/52556"
02 V.V. feb. 2023.pdf,Other,,https://t.me/jainegranth/52918,"02 V.V. feb. 2023.pdf,Other,https://t.me/jainegranth/52918"
02 पद्यानुवाद सरोवर.pdf,Other,,https://t.me/jainegranth/58676,"02 पद्यानुवाद सरोवर.pdf,Other,https://t.me/jainegranth/58676"
024. Tirthankar Vidhan.pdf,Vidhan,,https://t.me/jainegranth/53208,"024. Tirthankar Vidhan.pdf,Vidhan,https://t.me/jainegranth/53208"
02-Mahaveer Vandana .mp3,Other,,https://t.me/jainegranth/33476,"02-Mahaveer Vandana .mp3,Other,https://t.me/jainegranth/33476"
02-Mardav dharm.pdf,Other,,https://t.me/jainegranth/55394,"02-Mardav dharm.pdf,Other,https://t.me/jainegranth/55394"
02Sarva_samanya_pratikraman_avashyak(2nd).PDF,Other,,https://t.me/jainegranth/4785,"02Sarva_samanya_pratikraman_avashyak(2nd).PDF,Other,https://t.me/jainegranth/4785"
03 Bhag Dwitiya 2018.pdf,Other,,https://t.me/jainegranth/57974,"03 Bhag Dwitiya 2018.pdf,Other,https://t.me/jainegranth/57974"
03 Karan Karya Niyam.pdf,Other,,https://t.me/jainegranth/55963,"03 Karan Karya Niyam.pdf,Other,https://t.me/jainegranth/55963"
03 Todarmal Mahavidyalaya E Patrika Nov 22 (1).pdf,Other,,https://t.me/jainegranth/52124,"03 Todarmal Mahavidyalaya E Patrika Nov 22 (1).pdf,Other,https://t.me/jainegranth/52124"
03 पद्यानुवाद सरोवर.pdf,Other,,https://t.me/jainegranth/58677,"03 पद्यानुवाद सरोवर.pdf,Other,https://t.me/jainegranth/58677"
03-Aarjav dharm.pdf,Other,,https://t.me/jainegranth/55442,"03-Aarjav dharm.pdf,Other,https://t.me/jainegranth/55442"
04 Bhag tratiya 2018 bal.pdf,Other,,https://t.me/jainegranth/13211,"04 Bhag tratiya 2018 bal.pdf,Other,https://t.me/jainegranth/13211"
04 Bhag tratiya 2018.pdf,Other,,https://t.me/jainegranth/57975,"04 Bhag tratiya 2018.pdf,Other,https://t.me/jainegranth/57975"
